row_id,source_paper,case_class,location,valley_region,slope_angle_af_deg,failure_plane_dip_ap_deg,upper_slope_angle_as_deg,h_m,unit_weight_gamma_kNm3,friction_angle_phi_deg,cohesion_C_kPa,seismic_kh,loading_condition,saturation,water_fraction_or_pct,FoS,fos_method,cohesion_source,stability_class
104,RocPlane_Verification_Manual_Rocscience_2022 | Sharma 1993,REAL,Lakhwar_Dam_Yamuna_Himalaya_India,verification_case,58,53,0,20,26.98,40,98.1,0.15,dynamic,saturated,0.100,4.07428,RocPlane_planar_LEM,textbook_specified,stable
105,RocPlane_Verification_Manual_Rocscience_2022 | Sharma 1993,REAL,Lakhwar_Dam_Yamuna_Himalaya_India,verification_case,58,53,0,20,26.98,40,98.1,0.15,dynamic,saturated,0.50,4.28132,RocPlane_planar_LEM,textbook_specified,stable
106,RocPlane_Verification_Manual_Rocscience_2022 | Sharma 1993,REAL,Lakhwar_Dam_Yamuna_Himalaya_India,verification_case,58,53,0,20,26.98,40,98.1,0.15,dynamic,dry,0,4.43549,RocPlane_planar_LEM,textbook_specified,stable
107,RocPlane_Verification_Manual_Rocscience_2022 | Sharma 1993,REAL,Lakhwar_Dam_Yamuna_Himalaya_India,verification_case,58,53,0,40,26.98,40,98.1,0.0,static,saturated,0.100,2.49203,RocPlane_planar_LEM,textbook_specified,stable
108,RocPlane_Verification_Manual_Rocscience_2022 | Sharma 1993,REAL,Lakhwar_Dam_Yamuna_Himalaya_India,verification_case,58,53,0,40,26.98,40,98.1,0.0,static,saturated,0.50,2.68763,RocPlane_planar_LEM,textbook_specified,stable
109,RocPlane_Verification_Manual_Rocscience_2022 | Sharma 1993,REAL,Lakhwar_Dam_Yamuna_Himalaya_India,verification_case,58,53,0,40,26.98,40,98.1,0.0,static,dry,0,2.84751,RocPlane_planar_LEM,textbook_specified,stable
110,RocPlane_Verification_Manual_Rocscience_2022 | Sharma 1993,REAL,Lakhwar_Dam_Yamuna_Himalaya_India,verification_case,58,53,0,40,26.98,40,98.1,0.15,dynamic,saturated,0.100,2.1353,RocPlane_planar_LEM,textbook_specified,stable
111,RocPlane_Verification_Manual_Rocscience_2022 | Sharma 1993,REAL,Lakhwar_Dam_Yamuna_Himalaya_India,verification_case,58,53,0,40,26.98,40,98.1,0.15,dynamic,saturated,0.50,2.30415,RocPlane_planar_LEM,textbook_specified,stable
112,RocPlane_Verification_Manual_Rocscience_2022 | Sharma 1993,REAL,Lakhwar_Dam_Yamuna_Himalaya_India,verification_case,58,53,0,40,26.98,40,98.1,0.15,dynamic,dry,0,2.44525,RocPlane_planar_LEM,textbook_specified,stable
113,RocPlane_Verification_Manual_Rocscience_2022 | Sharma 1993,REAL,Lakhwar_Dam_Yamuna_Himalaya_India,verification_case,58,53,0,60,26.98,40,98.1,0.0,static,saturated,0.100,1.77473,RocPlane_planar_LEM,textbook_specified,stable
114,RocPlane_Verification_Manual_Rocscience_2022 | Sharma 1993,REAL,Lakhwar_Dam_Yamuna_Himalaya_India,verification_case,58,53,0,60,26.98,40,98.1,0.0,static,saturated,0.50,1.95463,RocPlane_planar_LEM,textbook_specified,stable
115,RocPlane_Verification_Manual_Rocscience_2022 | Sharma 1993,REAL,Lakhwar_Dam_Yamuna_Himalaya_India,verification_case,58,53,0,60,26.98,40,98.1,0.0,static,dry,0,2.10911,RocPlane_planar_LEM,textbook_specified,stable
116,RocPlane_Verification_Manual_Rocscience_2022 | Sharma 1993,REAL,Lakhwar_Dam_Yamuna_Himalaya_India,verification_case,58,53,0,60,26.98,40,98.1,0.15,dynamic,saturated,0.100,1.48897,RocPlane_planar_LEM,textbook_specified,stable
117,RocPlane_Verification_Manual_Rocscience_2022 | Sharma 1993,REAL,Lakhwar_Dam_Yamuna_Himalaya_India,verification_case,58,53,0,60,26.98,40,98.1,0.15,dynamic,saturated,0.50,1.64509,RocPlane_planar_LEM,textbook_specified,stable
118,RocPlane_Verification_Manual_Rocscience_2022 | Sharma 1993,REAL,Lakhwar_Dam_Yamuna_Himalaya_India,verification_case,58,53,0,60,26.98,40,98.1,0.15,dynamic,dry,0,1.78184,RocPlane_planar_LEM,textbook_specified,stable
119,RocPlane_Verification_Manual_Rocscience_2022 | Sharma 1993,REAL,Lakhwar_Dam_Yamuna_Himalaya_India,verification_case,58,53,0,80,26.98,40,98.1,0.0,static,saturated,0.100,1.41608,RocPlane_planar_LEM,textbook_specified,stable
120,RocPlane_Verification_Manual_Rocscience_2022 | Sharma 1993,REAL,Lakhwar_Dam_Yamuna_Himalaya_India,verification_case,58,53,0,80,26.98,40,98.1,0.0,static,saturated,0.50,1.58812,RocPlane_planar_LEM,textbook_specified,stable
121,RocPlane_Verification_Manual_Rocscience_2022 | Sharma 1993,REAL,Lakhwar_Dam_Yamuna_Himalaya_India,verification_case,58,53,0,80,26.98,40,98.1,0.0,static,dry,0,1.73991,RocPlane_planar_LEM,textbook_specified,stable
122,RocPlane_Verification_Manual_Rocscience_2022 | Sharma 1993,REAL,Lakhwar_Dam_Yamuna_Himalaya_India,verification_case,58,53,0,80,26.98,40,98.1,0.15,dynamic,saturated,0.100,1.1658,RocPlane_planar_LEM,textbook_specified,stable
123,RocPlane_Verification_Manual_Rocscience_2022 | Sharma 1993,REAL,Lakhwar_Dam_Yamuna_Himalaya_India,verification_case,58,53,0,80,26.98,40,98.1,0.15,dynamic,saturated,0.50,1.31556,RocPlane_planar_LEM,textbook_specified,stable
124,RocPlane_Verification_Manual_Rocscience_2022 | Sharma 1993,REAL,Lakhwar_Dam_Yamuna_Himalaya_India,verification_case,58,53,0,80,26.98,40,98.1,0.15,dynamic,dry,0,1.45013,RocPlane_planar_LEM,textbook_specified,stable
125,RocPlane_Verification_Manual_Rocscience_2022 | Sharma 1993,REAL,Lakhwar_Dam_Yamuna_Himalaya_India,verification_case,58,53,0,100,26.98,40,98.1,0.0,static,saturated,0.100,1.20089,RocPlane_planar_LEM,textbook_specified,stable
126,RocPlane_Verification_Manual_Rocscience_2022 | Sharma 1993,REAL,Lakhwar_Dam_Yamuna_Himalaya_India,verification_case,58,53,0,100,26.98,40,98.1,0.0,static,saturated,0.50,1.36822,RocPlane_planar_LEM,textbook_specified,stable
127,RocPlane_Verification_Manual_Rocscience_2022 | Sharma 1993,REAL,Lakhwar_Dam_Yamuna_Himalaya_India,verification_case,58,53,0,100,26.98,40,98.1,0.0,static,dry,0,1.51839,RocPlane_planar_LEM,textbook_specified,stable
128,RocPlane_Verification_Manual_Rocscience_2022 | Sharma 1993,REAL,Lakhwar_Dam_Yamuna_Himalaya_India,verification_case,58,53,0,100,26.98,40,98.1,0.15,dynamic,saturated,0.100,0.971904,RocPlane_planar_LEM,textbook_specified,critical
129,RocPlane_Verification_Manual_Rocscience_2022 | Sharma 1993,REAL,Lakhwar_Dam_Yamuna_Himalaya_India,verification_case,58,53,0,100,26.98,40,98.1,0.15,dynamic,saturated,0.50,1.11784,RocPlane_planar_LEM,textbook_specified,stable
130,RocPlane_Verification_Manual_Rocscience_2022 | Sharma 1993,REAL,Lakhwar_Dam_Yamuna_Himalaya_India,verification_case,58,53,0,100,26.98,40,98.1,0.15,dynamic,dry,0,1.25111,RocPlane_planar_LEM,textbook_specified,stable
131,RocPlane_Verification_Manual_Rocscience_2022 | Sharma 1993,REAL,Lakhwar_Dam_Yamuna_Himalaya_India,verification_case,58,53,0,120,26.98,40,98.1,0.0,static,saturated,0.100,1.05743,RocPlane_planar_LEM,textbook_specified,stable
132,RocPlane_Verification_Manual_Rocscience_2022 | Sharma 1993,REAL,Lakhwar_Dam_Yamuna_Himalaya_India,verification_case,58,53,0,120,26.98,40,98.1,0.0,static,saturated,0.50,1.22162,RocPlane_planar_LEM,textbook_specified,stable
133,RocPlane_Verification_Manual_Rocscience_2022 | Sharma 1993,REAL,Lakhwar_Dam_Yamuna_Himalaya_India,verification_case,58,53,0,120,26.98,40,98.1,0.0,static,dry,0,1.37071,RocPlane_planar_LEM,textbook_specified,stable
134,RocPlane_Verification_Manual_Rocscience_2022 | Sharma 1993,REAL,Lakhwar_Dam_Yamuna_Himalaya_India,verification_case,58,53,0,120,26.98,40,98.1,0.15,dynamic,saturated,0.100,0.842639,RocPlane_planar_LEM,textbook_specified,unstable
135,RocPlane_Verification_Manual_Rocscience_2022 | Sharma 1993,REAL,Lakhwar_Dam_Yamuna_Himalaya_India,verification_case,58,53,0,120,26.98,40,98.1,0.15,dynamic,saturated,0.50,0.98603,RocPlane_planar_LEM,textbook_specified,critical
136,RocPlane_Verification_Manual_Rocscience_2022 | Sharma 1993,REAL,Lakhwar_Dam_Yamuna_Himalaya_India,verification_case,58,53,0,120,26.98,40,98.1,0.15,dynamic,dry,0,1.11842,RocPlane_planar_LEM,textbook_specified,stable
137,RocPlane_Verification_Manual_Rocscience_2022 | Sharma 1993,REAL,Lakhwar_Dam_Yamuna_Himalaya_India,verification_case,58,53,0,140,26.98,40,98.1,0.0,static,saturated,0.100,0.954959,RocPlane_planar_LEM,textbook_specified,critical
138,RocPlane_Verification_Manual_Rocscience_2022 | Sharma 1993,REAL,Lakhwar_Dam_Yamuna_Himalaya_India,verification_case,58,53,0,140,26.98,40,98.1,0.0,static,saturated,0.50,1.1169,RocPlane_planar_LEM,textbook_specified,stable
139,RocPlane_Verification_Manual_Rocscience_2022 | Sharma 1993,REAL,Lakhwar_Dam_Yamuna_Himalaya_India,verification_case,58,53,0,140,26.98,40,98.1,0.0,static,dry,0,1.26522,RocPlane_planar_LEM,textbook_specified,stable
140,RocPlane_Verification_Manual_Rocscience_2022 | Sharma 1993,REAL,Lakhwar_Dam_Yamuna_Himalaya_India,verification_case,58,53,0,140,26.98,40,98.1,0.15,dynamic,saturated,0.100,0.750306,RocPlane_planar_LEM,textbook_specified,unstable
141,RocPlane_Verification_Manual_Rocscience_2022 | Sharma 1993,REAL,Lakhwar_Dam_Yamuna_Himalaya_India,verification_case,58,53,0,140,26.98,40,98.1,0.15,dynamic,saturated,0.50,0.891879,RocPlane_planar_LEM,textbook_specified,unstable
142,RocPlane_Verification_Manual_Rocscience_2022 | Sharma 1993,REAL,Lakhwar_Dam_Yamuna_Himalaya_India,verification_case,58,53,0,140,26.98,40,98.1,0.15,dynamic,dry,0,1.02365,RocPlane_planar_LEM,textbook_specified,critical
143,RocPlane_Verification_Manual_Rocscience_2022 | Sharma 1993,REAL,Lakhwar_Dam_Yamuna_Himalaya_India,verification_case,58,53,0,160,26.98,40,98.1,0.0,static,saturated,0.100,0.878106,RocPlane_planar_LEM,textbook_specified,unstable
144,RocPlane_Verification_Manual_Rocscience_2022 | Sharma 1993,REAL,Lakhwar_Dam_Yamuna_Himalaya_India,verification_case,58,53,0,160,26.98,40,98.1,0.0,static,saturated,0.50,1.03836,RocPlane_planar_LEM,textbook_specified,critical
145,RocPlane_Verification_Manual_Rocscience_2022 | Sharma 1993,REAL,Lakhwar_Dam_Yamuna_Himalaya_India,verification_case,58,53,0,160,26.98,40,98.1,0.0,static,dry,0,1.18611,RocPlane_planar_LEM,textbook_specified,stable
146,RocPlane_Verification_Manual_Rocscience_2022 | Sharma 1993,REAL,Lakhwar_Dam_Yamuna_Himalaya_India,verification_case,58,53,0,160,26.98,40,98.1,0.15,dynamic,saturated,0.100,0.681056,RocPlane_planar_LEM,textbook_specified,unstable
147,RocPlane_Verification_Manual_Rocscience_2022 | Sharma 1993,REAL,Lakhwar_Dam_Yamuna_Himalaya_India,verification_case,58,53,0,160,26.98,40,98.1,0.15,dynamic,saturated,0.50,0.821266,RocPlane_planar_LEM,textbook_specified,unstable
148,RocPlane_Verification_Manual_Rocscience_2022 | Sharma 1993,REAL,Lakhwar_Dam_Yamuna_Himalaya_India,verification_case,58,53,0,160,26.98,40,98.1,0.15,dynamic,dry,0,0.95257,RocPlane_planar_LEM,textbook_specified,critical
173,RocPlane_Verification_Manual_Rocscience_2022 | Priest 1993,TEXTBOOK,Priest1993_hypothetical,verification_case,60,30,0,30,24.53,30,19.62,0.0,static,saturated,0.25,1.04898,RocPlane_planar_LEM,textbook_specified,critical
174,RocPlane_Verification_Manual_Rocscience_2022 | Kliche 1999,TEXTBOOK,Kliche1999_hypothetical,verification_case,50,35,0,30,27.37,30,68.67,0.1,dynamic,saturated,0.51,1.22233,RocPlane_planar_LEM,textbook_specified,stable
