slope_angle_deg,bedding_dip_deg,joint_spacing_m,slope_height_m,joint_friction_deg,unit_weight_kNm3,water_ratio,FoS,data_origin,usable_for_training
48.43,70.54,9.849,48.47,22.08,23.93,0.04,0.724,synthetic_gb_solver,pretrain_only
70.92,57.27,7.168,21.54,28.4,23.57,0.272,0.622,synthetic_gb_solver,pretrain_only
53.45,70.77,9.233,50.48,31.76,26.85,0.668,0.75,synthetic_gb_solver,pretrain_only
78.16,69.32,6.467,42.36,40.08,25.14,0.439,0.876,synthetic_gb_solver,pretrain_only
70.46,65.05,5.745,55.51,40.24,24.62,0.257,0.856,synthetic_gb_solver,pretrain_only
53.11,70.52,10.561,47.85,25.73,24.28,0.018,0.867,synthetic_gb_solver,pretrain_only
69.39,65.88,2.605,17.9,37.93,26.68,0.221,0.804,synthetic_gb_solver,pretrain_only
66.18,67.93,7.193,24.82,29.69,25.22,0.293,0.836,synthetic_gb_solver,pretrain_only
62.42,74.58,9.18,41.99,35.58,24.24,0.536,0.842,synthetic_gb_solver,pretrain_only
57.92,68.75,7.332,21.24,24.15,26.22,0.453,1.006,synthetic_gb_solver,pretrain_only
60.47,72.53,7.91,47.63,42.33,26.44,0.632,0.964,synthetic_gb_solver,pretrain_only
70.57,64.82,11.834,36.46,37.94,25.47,0.188,1.114,synthetic_gb_solver,pretrain_only
58.37,71.7,7.948,19.16,26.81,25.46,0.49,1.393,synthetic_gb_solver,pretrain_only
65.22,70.34,4.982,36.07,44.9,24.29,0.267,1.036,synthetic_gb_solver,pretrain_only
77.64,61.46,2.61,17.41,40.09,23.44,0.034,0.854,synthetic_gb_solver,pretrain_only
65.82,72.53,5.933,37.33,44.61,23.71,0.486,1.045,synthetic_gb_solver,pretrain_only
48.93,73.27,8.135,33.21,31.08,24.39,0.289,1.786,synthetic_gb_solver,pretrain_only
72.84,73.8,9.944,47.84,44.97,24.51,0.282,1.298,synthetic_gb_solver,pretrain_only
78.98,70.09,7.031,41.78,42.95,26.76,0.074,1.037,synthetic_gb_solver,pretrain_only
65.51,74.2,4.824,35.03,37.88,25.03,0.064,0.84,synthetic_gb_solver,pretrain_only
75.25,57.61,9.858,26.14,40.31,26.77,0.011,0.971,synthetic_gb_solver,pretrain_only
73.71,57.1,11.553,28.49,35.51,25.18,0.24,0.874,synthetic_gb_solver,pretrain_only
69.87,59.98,7.811,30.22,38.24,23.53,0.6,0.842,synthetic_gb_solver,pretrain_only
54.85,67.25,10.513,52.17,30.87,24.86,0.006,0.818,synthetic_gb_solver,pretrain_only
75.35,70.79,6.719,28.85,38.48,23.5,0.491,0.873,synthetic_gb_solver,pretrain_only
75.52,62.84,5.61,50.27,44.9,23.85,0.139,1.008,synthetic_gb_solver,pretrain_only
52.61,68.64,11.226,33.32,25.35,26.67,0.56,0.944,synthetic_gb_solver,pretrain_only
58.35,70.86,10.663,33.51,38.95,25.78,0.47,1.877,synthetic_gb_solver,pretrain_only
75.03,65.17,1.894,23.58,44.99,24.58,0.186,1.005,synthetic_gb_solver,pretrain_only
64.19,62.67,4.417,13.79,33.66,26.74,0.254,0.975,synthetic_gb_solver,pretrain_only
53.93,71.17,11.829,45.56,29.64,26.21,0.09,1.366,synthetic_gb_solver,pretrain_only
52.85,66.16,4.806,6.65,26.76,25.47,0.26,1.122,synthetic_gb_solver,pretrain_only
72.24,58.66,7.013,22.23,39.14,26.2,0.466,0.911,synthetic_gb_solver,pretrain_only
52.14,67.4,10.32,20.84,25.32,26.72,0.352,1.091,synthetic_gb_solver,pretrain_only
66.92,69.07,5.346,17.92,42.7,25.61,0.577,1.414,synthetic_gb_solver,pretrain_only
59.46,60.43,4.805,8.32,29.66,26.84,0.034,0.995,synthetic_gb_solver,pretrain_only
57.26,70.24,9.444,41.84,35.16,25.07,0.404,0.975,synthetic_gb_solver,pretrain_only
64.94,72.05,10.595,44.51,42.63,24.63,0.687,1.034,synthetic_gb_solver,pretrain_only
60.39,73.64,8.419,23.19,38.15,25.4,0.509,2.367,synthetic_gb_solver,pretrain_only
66.87,73.04,5.116,39.41,42.61,26.71,0.345,0.964,synthetic_gb_solver,pretrain_only
58.12,68.29,7.901,17.18,26.51,25.97,0.628,1.062,synthetic_gb_solver,pretrain_only
62.3,73.84,11.862,36.1,29.04,26.41,0.291,1.838,synthetic_gb_solver,pretrain_only
79.67,63.28,5.526,25.55,42.4,25.12,0.21,0.982,synthetic_gb_solver,pretrain_only
76.89,68.72,4.474,19.99,36.22,23.87,0.367,0.809,synthetic_gb_solver,pretrain_only
71.98,72.12,11.954,56.25,41.66,24.56,0.369,1.119,synthetic_gb_solver,pretrain_only
48.82,72.6,3.997,22.26,30.29,23.51,0.495,0.837,synthetic_gb_solver,pretrain_only
78.64,56.6,5.847,24.67,39.8,24.05,0.016,0.855,synthetic_gb_solver,pretrain_only
65.56,69.94,8.164,24.04,29.72,24.95,0.446,1.315,synthetic_gb_solver,pretrain_only
78.97,57.85,11.358,40.07,42.78,25.52,0.634,0.963,synthetic_gb_solver,pretrain_only
60.06,68.08,9.055,29.1,35.17,26.7,0.312,1.499,synthetic_gb_solver,pretrain_only
64.63,71.83,9.652,39.19,42.27,26.71,0.497,1.26,synthetic_gb_solver,pretrain_only
76.38,67.76,9.372,48.54,37.69,23.63,0.329,0.815,synthetic_gb_solver,pretrain_only
72.01,72.14,7.088,31.27,38.3,26.42,0.582,0.891,synthetic_gb_solver,pretrain_only
47.56,72.48,6.173,9.36,23.42,25.31,0.497,1.29,synthetic_gb_solver,pretrain_only
64.58,65.62,4.229,9.99,32.58,25.49,0.631,1.142,synthetic_gb_solver,pretrain_only
52.32,70.83,9.243,39.24,28.59,24.86,0.292,1.014,synthetic_gb_solver,pretrain_only
50.58,71.29,6.668,20.16,31.18,26.94,0.472,1.568,synthetic_gb_solver,pretrain_only
74.91,63.41,7.799,34.38,39.81,24.36,0.386,0.882,synthetic_gb_solver,pretrain_only
61.44,68.0,4.504,24.82,35.73,24.96,0.17,0.832,synthetic_gb_solver,pretrain_only
50.18,68.32,6.769,15.34,25.72,25.34,0.638,1.04,synthetic_gb_solver,pretrain_only
72.35,62.22,5.649,16.22,37.43,25.57,0.492,0.901,synthetic_gb_solver,pretrain_only
64.36,72.48,8.779,42.66,35.29,26.54,0.292,0.906,synthetic_gb_solver,pretrain_only
79.63,68.71,3.962,24.79,43.01,24.33,0.22,0.978,synthetic_gb_solver,pretrain_only
54.05,73.2,10.199,47.95,25.17,24.33,0.024,0.868,synthetic_gb_solver,pretrain_only
54.76,68.79,11.513,16.09,23.02,25.69,0.487,1.028,synthetic_gb_solver,pretrain_only
69.45,66.81,5.98,28.16,41.35,24.48,0.171,0.964,synthetic_gb_solver,pretrain_only
55.99,74.91,7.852,34.23,35.23,25.22,0.46,1.784,synthetic_gb_solver,pretrain_only
78.43,74.9,2.834,30.32,39.55,25.58,0.167,0.864,synthetic_gb_solver,pretrain_only
62.03,70.85,10.398,30.65,25.83,25.27,0.541,1.216,synthetic_gb_solver,pretrain_only
76.98,59.25,11.63,33.23,43.76,23.5,0.311,1.044,synthetic_gb_solver,pretrain_only
52.12,73.47,7.133,26.07,27.66,24.4,0.243,1.692,synthetic_gb_solver,pretrain_only
64.84,72.93,5.715,18.57,35.76,26.81,0.424,2.063,synthetic_gb_solver,pretrain_only
65.71,60.83,7.233,13.35,25.64,26.53,0.131,0.839,synthetic_gb_solver,pretrain_only
79.39,64.48,10.044,49.7,43.38,24.41,0.485,0.999,synthetic_gb_solver,pretrain_only
73.2,73.99,9.069,52.5,36.49,24.1,0.154,0.835,synthetic_gb_solver,pretrain_only
61.35,63.27,11.658,20.42,28.71,24.63,0.568,0.976,synthetic_gb_solver,pretrain_only
77.21,64.03,10.473,41.76,42.3,26.51,0.441,0.984,synthetic_gb_solver,pretrain_only
49.94,70.29,2.984,11.68,26.92,25.96,0.208,1.183,synthetic_gb_solver,pretrain_only
53.89,68.38,11.494,19.14,29.11,24.64,0.349,1.352,synthetic_gb_solver,pretrain_only
60.51,64.66,5.906,9.21,35.09,26.28,0.151,1.474,synthetic_gb_solver,pretrain_only
63.71,65.7,5.751,21.75,37.68,23.79,0.414,0.959,synthetic_gb_solver,pretrain_only
57.89,70.38,11.016,39.67,32.22,26.36,0.651,0.884,synthetic_gb_solver,pretrain_only
76.85,58.11,5.769,30.26,39.92,25.13,0.131,0.857,synthetic_gb_solver,pretrain_only
77.29,59.34,5.723,42.31,41.83,26.14,0.052,0.906,synthetic_gb_solver,pretrain_only
65.87,65.43,10.679,31.92,32.49,24.23,0.264,1.018,synthetic_gb_solver,pretrain_only
66.95,72.45,2.187,13.53,39.86,26.67,0.539,0.872,synthetic_gb_solver,pretrain_only
56.77,69.75,7.086,34.28,35.99,26.39,0.109,1.033,synthetic_gb_solver,pretrain_only
73.61,73.48,3.377,18.17,44.24,25.39,0.178,1.258,synthetic_gb_solver,pretrain_only
67.05,65.05,10.653,30.58,36.2,26.17,0.065,1.066,synthetic_gb_solver,pretrain_only
75.88,64.17,7.109,34.52,40.04,26.3,0.165,0.892,synthetic_gb_solver,pretrain_only
66.64,64.91,7.615,34.32,39.69,23.91,0.358,0.926,synthetic_gb_solver,pretrain_only
76.86,62.32,11.784,46.15,42.92,24.77,0.698,0.973,synthetic_gb_solver,pretrain_only
50.57,69.86,8.945,26.07,25.42,24.53,0.421,1.181,synthetic_gb_solver,pretrain_only
60.8,69.0,7.324,15.1,35.03,23.26,0.643,1.517,synthetic_gb_solver,pretrain_only
62.79,71.51,3.093,9.26,29.72,24.58,0.505,1.485,synthetic_gb_solver,pretrain_only
66.62,65.91,3.183,7.38,23.97,26.14,0.389,0.858,synthetic_gb_solver,pretrain_only
69.82,64.22,7.268,39.75,39.36,23.26,0.156,0.857,synthetic_gb_solver,pretrain_only
79.38,60.19,1.289,8.85,38.65,23.61,0.392,0.808,synthetic_gb_solver,pretrain_only
59.31,73.54,9.995,48.48,34.47,26.66,0.425,1.003,synthetic_gb_solver,pretrain_only
58.03,73.36,9.236,22.01,31.92,25.76,0.266,2.028,synthetic_gb_solver,pretrain_only
76.33,55.36,6.567,14.99,38.45,25.31,0.457,0.869,synthetic_gb_solver,pretrain_only
52.87,71.7,5.207,18.07,25.41,25.83,0.265,1.357,synthetic_gb_solver,pretrain_only
63.34,62.17,5.794,9.57,32.89,25.9,0.622,1.072,synthetic_gb_solver,pretrain_only
52.4,73.67,5.889,42.9,35.45,25.08,0.117,0.902,synthetic_gb_solver,pretrain_only
70.3,73.74,5.871,27.86,40.08,26.71,0.129,1.599,synthetic_gb_solver,pretrain_only
49.31,72.64,11.948,33.62,25.68,23.11,0.168,1.517,synthetic_gb_solver,pretrain_only
65.53,65.81,8.092,19.15,37.45,25.21,0.48,1.476,synthetic_gb_solver,pretrain_only
48.71,74.75,5.644,16.64,26.75,25.47,0.039,1.847,synthetic_gb_solver,pretrain_only
64.39,71.64,10.417,42.4,30.79,23.22,0.303,1.236,synthetic_gb_solver,pretrain_only
73.48,74.04,9.018,51.72,38.37,23.59,0.356,0.964,synthetic_gb_solver,pretrain_only
72.11,66.34,6.948,34.77,40.01,25.79,0.438,0.878,synthetic_gb_solver,pretrain_only
55.7,70.28,10.302,18.31,26.34,26.24,0.557,1.257,synthetic_gb_solver,pretrain_only
67.13,68.93,11.331,46.67,36.44,26.24,0.638,0.827,synthetic_gb_solver,pretrain_only
68.7,70.22,11.116,39.11,34.52,23.27,0.593,0.845,synthetic_gb_solver,pretrain_only
63.32,72.67,11.515,58.54,38.47,23.26,0.588,0.848,synthetic_gb_solver,pretrain_only
67.39,71.18,8.157,35.87,38.28,24.12,0.688,0.849,synthetic_gb_solver,pretrain_only
64.46,69.83,10.032,44.71,43.73,24.07,0.305,1.216,synthetic_gb_solver,pretrain_only
74.78,64.58,7.565,36.28,41.43,23.47,0.584,0.918,synthetic_gb_solver,pretrain_only
49.28,71.4,5.426,14.93,23.5,24.22,0.262,1.254,synthetic_gb_solver,pretrain_only
78.96,67.33,5.736,29.02,40.88,24.49,0.132,0.95,synthetic_gb_solver,pretrain_only
71.92,61.55,8.314,35.48,37.08,26.81,0.161,0.811,synthetic_gb_solver,pretrain_only
63.68,65.23,4.4,28.54,38.32,23.6,0.585,0.833,synthetic_gb_solver,pretrain_only
76.31,71.99,4.409,41.44,41.52,24.13,0.454,0.902,synthetic_gb_solver,pretrain_only
64.81,72.89,8.409,32.37,32.58,23.19,0.148,1.529,synthetic_gb_solver,pretrain_only
69.83,70.13,6.582,38.38,41.43,23.12,0.267,0.954,synthetic_gb_solver,pretrain_only
71.77,62.22,11.204,55.28,40.11,23.68,0.388,0.877,synthetic_gb_solver,pretrain_only
65.4,73.32,7.408,52.04,38.97,25.58,0.41,0.851,synthetic_gb_solver,pretrain_only
63.2,62.93,3.029,5.95,27.61,26.63,0.62,0.896,synthetic_gb_solver,pretrain_only
53.49,68.53,6.865,31.88,29.68,24.16,0.045,0.862,synthetic_gb_solver,pretrain_only
62.64,70.78,9.913,40.97,37.42,26.13,0.526,0.958,synthetic_gb_solver,pretrain_only
65.15,65.81,10.564,31.19,28.95,24.57,0.021,0.98,synthetic_gb_solver,pretrain_only
68.69,71.67,6.776,37.35,39.03,23.85,0.185,0.9,synthetic_gb_solver,pretrain_only
71.61,73.04,11.926,55.87,41.15,24.68,0.554,1.001,synthetic_gb_solver,pretrain_only
66.85,65.02,11.179,28.13,41.14,24.22,0.562,1.414,synthetic_gb_solver,pretrain_only
76.87,60.2,9.823,35.3,37.04,26.69,0.186,0.831,synthetic_gb_solver,pretrain_only
71.95,69.39,1.932,7.53,39.99,25.37,0.08,1.116,synthetic_gb_solver,pretrain_only
72.79,59.59,8.924,46.76,38.16,25.77,0.055,0.814,synthetic_gb_solver,pretrain_only
47.88,73.92,4.993,11.48,29.85,25.44,0.587,1.735,synthetic_gb_solver,pretrain_only
75.57,74.17,3.419,25.37,42.57,26.63,0.11,1.011,synthetic_gb_solver,pretrain_only
66.31,66.92,10.576,35.24,40.28,24.82,0.009,1.317,synthetic_gb_solver,pretrain_only
69.98,64.33,7.654,28.4,36.88,25.28,0.167,0.886,synthetic_gb_solver,pretrain_only
56.51,72.98,6.569,29.75,23.3,26.84,0.122,0.989,synthetic_gb_solver,pretrain_only
65.58,65.33,9.369,40.64,39.84,24.85,0.161,0.98,synthetic_gb_solver,pretrain_only
75.2,65.29,7.198,41.14,41.6,24.47,0.095,0.924,synthetic_gb_solver,pretrain_only
76.79,68.23,8.024,52.51,41.5,25.91,0.173,0.918,synthetic_gb_solver,pretrain_only
57.23,71.49,6.674,40.32,35.43,24.43,0.503,0.827,synthetic_gb_solver,pretrain_only
61.05,68.14,2.972,25.17,37.35,24.25,0.34,0.812,synthetic_gb_solver,pretrain_only
56.97,70.02,6.633,11.77,26.93,26.54,0.388,1.333,synthetic_gb_solver,pretrain_only
44.37,74.96,10.604,48.29,22.52,26.66,0.416,1.053,synthetic_gb_solver,pretrain_only
71.96,59.25,7.187,19.1,38.21,26.2,0.265,1.052,synthetic_gb_solver,pretrain_only
58.34,70.06,8.254,21.96,23.49,26.28,0.451,1.098,synthetic_gb_solver,pretrain_only
52.7,72.09,11.334,25.03,28.57,26.96,0.538,1.532,synthetic_gb_solver,pretrain_only
62.18,66.3,9.501,30.69,36.1,25.47,0.281,1.234,synthetic_gb_solver,pretrain_only
49.0,74.65,11.991,48.77,23.78,25.15,0.555,1.043,synthetic_gb_solver,pretrain_only
63.22,69.48,5.166,13.02,23.28,24.23,0.489,1.011,synthetic_gb_solver,pretrain_only
67.8,67.76,8.19,45.33,44.72,24.04,0.153,1.069,synthetic_gb_solver,pretrain_only
73.03,62.38,10.711,33.49,42.1,23.26,0.44,1.048,synthetic_gb_solver,pretrain_only
58.36,66.89,8.284,20.22,32.84,25.33,0.61,1.192,synthetic_gb_solver,pretrain_only
66.57,69.59,6.523,18.01,33.98,25.73,0.231,1.667,synthetic_gb_solver,pretrain_only
50.37,71.02,8.927,22.1,27.76,25.81,0.25,1.495,synthetic_gb_solver,pretrain_only
59.57,71.79,11.728,35.89,31.17,24.85,0.33,1.73,synthetic_gb_solver,pretrain_only
74.47,73.02,2.487,31.18,44.92,26.84,0.385,1.007,synthetic_gb_solver,pretrain_only
72.0,70.36,9.224,43.37,41.99,26.59,0.064,1.012,synthetic_gb_solver,pretrain_only
69.1,70.66,11.84,45.97,31.32,26.91,0.113,1.235,synthetic_gb_solver,pretrain_only
59.74,63.36,10.957,28.26,31.96,24.08,0.376,1.043,synthetic_gb_solver,pretrain_only
64.01,71.56,7.924,39.71,44.0,26.01,0.58,1.034,synthetic_gb_solver,pretrain_only
62.69,74.03,4.008,15.08,26.61,23.1,0.145,1.66,synthetic_gb_solver,pretrain_only
57.37,72.4,6.198,14.47,25.41,25.45,0.431,1.397,synthetic_gb_solver,pretrain_only
52.96,72.6,8.219,15.76,22.73,24.97,0.195,1.322,synthetic_gb_solver,pretrain_only
57.3,67.59,8.128,24.47,34.45,24.5,0.13,1.532,synthetic_gb_solver,pretrain_only
58.98,71.6,5.018,14.88,40.58,26.97,0.256,2.5,synthetic_gb_solver,pretrain_only
52.99,74.14,11.831,21.2,29.85,23.4,0.312,1.954,synthetic_gb_solver,pretrain_only
60.19,70.15,4.854,14.54,27.83,25.18,0.202,1.415,synthetic_gb_solver,pretrain_only
58.67,72.55,7.024,23.48,22.23,23.32,0.216,1.268,synthetic_gb_solver,pretrain_only
48.7,71.55,7.004,21.11,26.16,25.44,0.581,1.185,synthetic_gb_solver,pretrain_only
62.66,71.22,10.872,45.36,42.49,24.73,0.265,1.449,synthetic_gb_solver,pretrain_only
58.13,66.42,7.621,16.34,34.46,25.49,0.295,1.524,synthetic_gb_solver,pretrain_only
62.39,65.05,11.774,30.82,33.91,26.43,0.241,1.353,synthetic_gb_solver,pretrain_only
71.31,63.11,11.074,38.62,43.78,26.9,0.218,1.088,synthetic_gb_solver,pretrain_only
60.02,64.98,11.321,31.77,32.63,26.36,0.609,1.052,synthetic_gb_solver,pretrain_only
53.09,69.29,9.655,23.2,31.13,25.35,0.494,1.438,synthetic_gb_solver,pretrain_only
71.41,74.18,5.801,30.85,37.61,25.9,0.115,1.241,synthetic_gb_solver,pretrain_only
71.7,62.74,11.575,31.16,42.1,26.22,0.489,1.092,synthetic_gb_solver,pretrain_only
62.95,74.37,11.142,47.26,32.29,24.29,0.129,2.138,synthetic_gb_solver,pretrain_only
53.06,74.71,9.83,38.13,24.86,25.24,0.129,1.647,synthetic_gb_solver,pretrain_only
59.02,74.53,10.236,44.16,34.17,24.43,0.008,2.37,synthetic_gb_solver,pretrain_only
47.03,74.48,5.908,22.51,30.17,26.34,0.041,2.08,synthetic_gb_solver,pretrain_only
72.98,66.15,7.13,27.8,43.33,24.63,0.652,1.028,synthetic_gb_solver,pretrain_only
52.6,67.72,6.706,19.86,24.88,23.2,0.104,1.093,synthetic_gb_solver,pretrain_only
58.03,67.32,11.417,30.72,34.75,23.95,0.313,1.554,synthetic_gb_solver,pretrain_only
68.24,71.58,9.049,31.75,41.92,23.51,0.313,1.959,synthetic_gb_solver,pretrain_only
64.71,71.63,8.971,27.15,43.32,25.45,0.688,1.42,synthetic_gb_solver,pretrain_only
55.32,70.79,10.442,35.62,27.99,24.05,0.589,1.046,synthetic_gb_solver,pretrain_only
65.92,67.98,1.094,5.68,41.89,26.89,0.179,1.005,synthetic_gb_solver,pretrain_only
69.86,72.16,2.192,23.63,44.63,24.54,0.086,1.002,synthetic_gb_solver,pretrain_only
69.85,72.02,6.649,25.7,32.19,25.66,0.254,1.053,synthetic_gb_solver,pretrain_only
66.92,71.35,6.618,22.75,43.79,23.98,0.699,1.159,synthetic_gb_solver,pretrain_only
63.72,61.75,10.506,18.48,32.5,24.29,0.212,1.168,synthetic_gb_solver,pretrain_only
58.08,70.15,7.04,18.99,28.46,23.51,0.028,1.501,synthetic_gb_solver,pretrain_only
60.28,72.29,6.942,28.07,28.24,24.13,0.32,1.256,synthetic_gb_solver,pretrain_only
57.15,74.51,5.245,14.87,31.84,24.94,0.173,2.207,synthetic_gb_solver,pretrain_only
69.68,74.82,6.811,31.53,37.64,24.63,0.158,2.043,synthetic_gb_solver,pretrain_only
66.42,64.33,9.031,21.17,31.96,24.95,0.447,1.123,synthetic_gb_solver,pretrain_only
66.25,74.82,7.259,33.96,42.21,24.8,0.566,1.035,synthetic_gb_solver,pretrain_only
44.75,73.77,11.988,41.73,27.91,25.54,0.285,1.736,synthetic_gb_solver,pretrain_only
51.25,73.7,8.015,20.79,24.13,26.54,0.492,1.391,synthetic_gb_solver,pretrain_only
49.26,73.47,4.698,21.16,29.86,24.9,0.254,1.47,synthetic_gb_solver,pretrain_only
53.82,73.41,3.812,11.14,22.8,26.84,0.45,1.287,synthetic_gb_solver,pretrain_only
78.85,58.03,11.787,54.3,44.95,23.06,0.303,1.021,synthetic_gb_solver,pretrain_only
63.28,73.57,9.158,31.98,28.85,24.5,0.129,1.851,synthetic_gb_solver,pretrain_only
62.93,73.7,7.149,24.9,34.63,25.81,0.047,2.359,synthetic_gb_solver,pretrain_only
57.8,69.41,9.638,25.92,35.8,23.6,0.132,1.905,synthetic_gb_solver,pretrain_only
61.54,73.81,8.27,25.5,23.87,23.82,0.628,1.185,synthetic_gb_solver,pretrain_only
64.06,63.47,10.457,23.84,37.09,23.5,0.259,1.342,synthetic_gb_solver,pretrain_only
49.88,74.45,8.926,35.02,24.01,24.21,0.35,1.474,synthetic_gb_solver,pretrain_only
53.95,68.89,10.527,21.93,25.43,26.71,0.423,1.156,synthetic_gb_solver,pretrain_only
70.46,64.45,8.81,27.16,38.96,26.51,0.278,1.149,synthetic_gb_solver,pretrain_only
67.34,61.54,9.478,17.93,31.99,24.24,0.234,1.074,synthetic_gb_solver,pretrain_only
48.53,74.52,9.654,13.74,31.3,24.01,0.68,1.939,synthetic_gb_solver,pretrain_only
62.39,70.59,7.142,34.79,39.46,24.29,0.137,1.065,synthetic_gb_solver,pretrain_only
73.49,63.46,6.038,26.17,44.66,26.08,0.502,1.049,synthetic_gb_solver,pretrain_only
55.53,72.32,8.835,26.52,36.03,25.46,0.012,2.282,synthetic_gb_solver,pretrain_only
60.76,65.69,6.135,10.72,26.74,24.35,0.547,1.001,synthetic_gb_solver,pretrain_only
68.67,71.69,6.018,41.52,44.81,24.84,0.446,1.037,synthetic_gb_solver,pretrain_only
59.14,72.1,6.73,22.76,33.29,26.73,0.197,1.875,synthetic_gb_solver,pretrain_only
60.79,69.34,9.317,28.35,38.12,23.38,0.651,1.366,synthetic_gb_solver,pretrain_only
49.89,72.51,9.455,34.56,24.33,24.02,0.493,1.082,synthetic_gb_solver,pretrain_only
79.62,69.76,6.525,40.98,42.74,24.78,0.071,1.021,synthetic_gb_solver,pretrain_only
62.39,72.9,7.055,19.55,27.26,26.58,0.151,1.658,synthetic_gb_solver,pretrain_only
69.16,67.33,5.228,23.55,44.64,23.17,0.283,1.078,synthetic_gb_solver,pretrain_only
46.76,72.92,11.738,19.97,22.66,24.0,0.204,1.342,synthetic_gb_solver,pretrain_only
61.0,68.95,11.971,48.39,34.33,24.94,0.315,1.005,synthetic_gb_solver,pretrain_only
68.72,74.2,9.276,40.49,40.92,26.12,0.545,1.127,synthetic_gb_solver,pretrain_only
75.16,60.85,11.789,50.07,44.93,24.9,0.558,1.025,synthetic_gb_solver,pretrain_only
55.75,73.88,10.983,55.74,32.16,25.31,0.108,1.153,synthetic_gb_solver,pretrain_only
59.48,70.59,2.419,8.03,30.7,26.06,0.522,1.08,synthetic_gb_solver,pretrain_only
71.6,71.71,5.976,27.24,42.62,23.05,0.278,1.236,synthetic_gb_solver,pretrain_only
54.28,73.45,11.713,32.06,23.82,23.5,0.641,1.225,synthetic_gb_solver,pretrain_only
62.4,70.9,4.317,17.81,33.82,24.0,0.211,1.167,synthetic_gb_solver,pretrain_only
65.37,69.09,4.754,23.61,43.5,24.67,0.57,1.011,synthetic_gb_solver,pretrain_only
64.98,74.05,7.312,30.7,42.64,25.69,0.589,1.087,synthetic_gb_solver,pretrain_only
54.12,70.11,9.944,27.36,23.92,23.51,0.318,1.156,synthetic_gb_solver,pretrain_only
48.48,73.59,8.042,21.86,26.9,24.7,0.645,1.399,synthetic_gb_solver,pretrain_only
61.34,62.67,9.026,17.52,30.17,25.74,0.516,1.005,synthetic_gb_solver,pretrain_only
73.41,66.2,8.784,35.22,42.54,24.55,0.068,1.111,synthetic_gb_solver,pretrain_only
69.17,70.75,5.457,17.66,42.31,26.19,0.126,1.81,synthetic_gb_solver,pretrain_only
63.84,72.9,9.673,33.8,30.08,23.56,0.318,1.777,synthetic_gb_solver,pretrain_only
70.28,64.19,1.9,5.26,40.76,24.17,0.375,1.19,synthetic_gb_solver,pretrain_only
56.01,74.67,11.555,26.76,32.99,24.15,0.094,2.361,synthetic_gb_solver,pretrain_only
73.15,74.85,2.282,15.73,44.49,23.58,0.429,1.059,synthetic_gb_solver,pretrain_only
56.91,73.09,6.716,19.86,30.28,23.99,0.224,1.875,synthetic_gb_solver,pretrain_only
68.14,70.4,9.06,41.08,39.3,23.95,0.058,1.049,synthetic_gb_solver,pretrain_only
69.94,69.38,8.205,27.46,39.7,23.07,0.028,1.344,synthetic_gb_solver,pretrain_only
65.16,71.8,3.602,12.28,33.15,23.31,0.028,1.939,synthetic_gb_solver,pretrain_only
69.31,74.7,9.458,37.96,38.82,24.49,0.064,2.408,synthetic_gb_solver,pretrain_only
68.16,71.62,4.44,15.17,34.68,25.41,0.167,1.748,synthetic_gb_solver,pretrain_only
60.78,62.56,4.866,8.96,32.51,26.1,0.387,1.163,synthetic_gb_solver,pretrain_only
64.23,65.45,9.201,26.59,38.01,24.36,0.691,1.051,synthetic_gb_solver,pretrain_only
64.52,64.81,8.595,18.97,27.1,24.03,0.181,1.06,synthetic_gb_solver,pretrain_only
57.0,67.19,8.517,28.72,27.47,26.49,0.032,1.02,synthetic_gb_solver,pretrain_only
48.85,73.19,7.721,25.89,27.18,26.03,0.678,1.211,synthetic_gb_solver,pretrain_only
66.25,74.79,5.229,22.26,26.93,24.96,0.123,1.81,synthetic_gb_solver,pretrain_only
79.82,58.32,7.581,48.71,44.8,26.44,0.164,1.004,synthetic_gb_solver,pretrain_only
61.85,72.33,7.183,37.25,43.58,24.73,0.557,1.064,synthetic_gb_solver,pretrain_only
53.24,70.57,10.614,39.88,32.62,23.59,0.293,1.522,synthetic_gb_solver,pretrain_only
62.02,73.64,8.918,30.06,31.58,25.12,0.634,1.62,synthetic_gb_solver,pretrain_only
60.42,69.46,10.931,29.48,28.84,25.16,0.083,1.44,synthetic_gb_solver,pretrain_only
61.0,72.1,8.475,26.76,29.39,23.38,0.382,1.552,synthetic_gb_solver,pretrain_only
51.66,73.92,8.2,17.06,22.61,24.39,0.421,1.353,synthetic_gb_solver,pretrain_only
53.22,70.93,6.393,13.24,28.18,24.54,0.677,1.31,synthetic_gb_solver,pretrain_only
63.17,72.0,11.096,34.87,37.19,25.33,0.413,2.142,synthetic_gb_solver,pretrain_only
49.5,74.66,4.89,27.77,32.16,23.71,0.308,1.029,synthetic_gb_solver,pretrain_only
58.11,69.53,8.786,16.12,32.71,25.35,0.343,1.653,synthetic_gb_solver,pretrain_only
58.32,65.5,8.056,19.96,29.1,26.78,0.607,1.011,synthetic_gb_solver,pretrain_only
63.01,73.08,6.796,22.15,30.04,24.33,0.372,1.764,synthetic_gb_solver,pretrain_only
75.24,73.01,7.238,39.99,40.75,24.43,0.012,1.052,synthetic_gb_solver,pretrain_only
67.36,63.77,2.969,7.53,28.98,25.26,0.125,1.033,synthetic_gb_solver,pretrain_only
56.48,73.14,9.058,23.54,39.22,24.46,0.547,2.324,synthetic_gb_solver,pretrain_only
