case_id,dip_j1,dipdir_j1,dip_j2,dipdir_j2,dip_slope,dipdir_slope,dip_upper,dipdir_upper,height_m,gamma_kN_m3,c1_kPa,phi1_deg,c2_kPa,phi2_deg,w_pct,water_condition,u_kPa,psi_i_deg,alpha_i_deg,delta_alpha_deg,wedge_volume_m3,weight_kN,area_j1_m2,area_j2_m2,N1_kN,N2_kN,driving_kN,resisting_kN,failure_mode,FoS,data_origin,usable_for_training,solver_verified_against,fos_band
WS0076,51.52,98.42,66.48,217.28,63.99,140.04,18.58,153.79,14.22,24.812,43.82,26.07,29.05,38.89,6.05,wet,8.436,39.129,148.364,8.327,479.48,11896.91,191.93,121.18,6341.55,4499.93,7507.71,18662.73,joints12,2.4858,synthetic_blocktheory_solver,pretrain_only,SWedge_VM_2022_P7_and_Sec3.2_3.3,>2.0
WS0077,70.93,99.5,41.84,162.8,73.52,141.89,17.55,142.08,22.03,26.619,17.33,39.34,18.2,35.2,8.83,wet,19.08,41.305,171.883,29.988,4269.91,113661.26,350.22,954.53,0.0,63058.87,76517.75,61852.27,joint2,0.8083,synthetic_blocktheory_solver,pretrain_only,SWedge_VM_2022_P7_and_Sec3.2_3.3,0.8-1.0
WS0078,41.04,162.46,68.13,221.01,65.7,172.22,18.13,183.91,25.32,24.381,27.62,27.48,20.81,28.94,6.48,wet,16.087,40.522,151.256,20.965,7332.55,178774.75,1791.46,377.89,102293.73,0.0,118300.31,102676.47,joint1,0.8679,synthetic_blocktheory_solver,pretrain_only,SWedge_VM_2022_P7_and_Sec3.2_3.3,0.8-1.0
WS0079,47.07,152.08,52.38,265.26,50.81,215.47,3.36,229.17,14.63,25.184,49.26,30.97,7.65,25.36,0.66,wet,0.942,33.075,205.631,9.843,350.47,8826.28,116.45,127.86,5051.46,4336.78,4816.79,11801.37,joints12,2.45,synthetic_blocktheory_solver,pretrain_only,SWedge_VM_2022_P7_and_Sec3.2_3.3,>2.0
WS0080,56.66,309.71,51.96,64.94,61.5,3.25,12.99,10.61,38.52,26.117,36.53,36.49,17.05,30.23,21.52,wet,81.306,36.77,10.585,7.331,9435.46,246423.77,1070.63,1078.29,39689.9,57450.05,147510.04,120330.98,joints12,0.8157,synthetic_blocktheory_solver,pretrain_only,SWedge_VM_2022_P7_and_Sec3.2_3.3,0.8-1.0
WS0081,40.43,89.16,42.01,161.85,67.06,106.32,0.55,97.17,24.73,23.725,5.88,35.38,2.7,28.42,3.24,wet,7.853,35.408,122.599,16.28,8818.56,209219.04,1575.96,502.1,90496.9,78225.91,121221.24,117230.86,joints12,0.9671,synthetic_blocktheory_solver,pretrain_only,SWedge_VM_2022_P7_and_Sec3.2_3.3,0.8-1.0
WS0082,48.81,350.73,41.55,82.25,58.01,34.64,13.26,35.03,33.42,26.356,42.47,25.57,9.3,35.0,7.69,wet,25.202,34.602,43.185,8.544,10313.89,271830.84,1121.18,1191.08,79028.2,121858.31,154365.55,181833.88,joints12,1.1779,synthetic_blocktheory_solver,pretrain_only,SWedge_VM_2022_P7_and_Sec3.2_3.3,1.0-1.2
WS0083,50.32,103.18,59.32,207.13,74.84,161.31,18.46,153.47,16.13,22.527,41.82,25.04,19.54,36.43,24.4,wet,38.601,41.47,147.979,13.333,1152.74,25967.42,252.37,246.88,4937.84,1056.69,17196.3,18465.46,joints12,1.0738,synthetic_blocktheory_solver,pretrain_only,SWedge_VM_2022_P7_and_Sec3.2_3.3,1.0-1.2
WS0084,51.85,117.4,38.35,167.37,59.77,158.73,18.72,161.52,26.05,26.939,38.06,35.55,5.21,31.85,0.0,dry,0.0,38.002,169.924,11.192,15615.25,420653.98,635.41,3661.81,0.0,331399.22,259083.63,224980.89,joint2,0.8684,synthetic_blocktheory_solver,pretrain_only,SWedge_VM_2022_P7_and_Sec3.2_3.3,0.8-1.0
WS0085,57.38,67.52,46.97,176.7,58.85,105.19,9.39,116.42,13.58,25.307,23.32,31.44,31.19,29.72,11.96,wet,15.937,36.133,129.804,24.611,331.53,8389.88,131.04,102.5,1567.78,3524.84,4947.22,9223.79,joints12,1.8644,synthetic_blocktheory_solver,pretrain_only,SWedge_VM_2022_P7_and_Sec3.2_3.3,1.5-2.0
WS0086,53.11,224.19,72.69,3.63,67.31,297.02,11.91,305.05,12.31,25.214,32.02,27.63,16.22,28.99,0.0,dry,0.0,32.286,285.375,11.64,384.03,9683.09,147.47,130.95,8371.01,6235.2,5172.21,14684.42,joints12,2.8391,synthetic_blocktheory_solver,pretrain_only,SWedge_VM_2022_P7_and_Sec3.2_3.3,>2.0
WS0087,56.08,243.65,63.68,4.94,58.97,292.68,15.42,290.74,17.14,24.254,26.17,35.27,36.04,32.92,19.93,wet,33.519,40.689,299.855,7.178,381.21,9245.98,159.83,115.82,372.04,971.61,6028.0,9249.5,joints12,1.5344,synthetic_blocktheory_solver,pretrain_only,SWedge_VM_2022_P7_and_Sec3.2_3.3,1.5-2.0
WS0089,47.36,3.94,58.63,109.32,63.48,38.43,12.05,44.64,27.99,24.156,18.97,37.57,9.4,30.47,13.24,wet,36.367,38.006,48.195,9.769,4658.11,112522.65,856.94,463.28,36526.7,29926.68,69285.04,66315.13,joints12,0.9571,synthetic_blocktheory_solver,pretrain_only,SWedge_VM_2022_P7_and_Sec3.2_3.3,0.8-1.0
WS0091,57.9,190.98,57.72,313.15,55.45,275.98,10.92,281.75,28.65,26.495,6.53,26.66,9.94,27.83,0.0,dry,0.0,37.204,252.471,23.513,1632.11,43242.74,278.78,466.88,25565.96,25970.0,26146.85,33004.6,joints12,1.2623,synthetic_blocktheory_solver,pretrain_only,SWedge_VM_2022_P7_and_Sec3.2_3.3,1.2-1.5
WS0092,41.69,151.97,71.87,269.61,74.26,193.74,19.41,179.62,10.88,26.035,1.06,39.22,40.88,26.47,37.06,wet,39.55,33.985,191.936,1.807,893.86,23271.29,346.88,139.24,4232.53,2645.57,13008.26,10830.78,joints12,0.8326,synthetic_blocktheory_solver,pretrain_only,SWedge_VM_2022_P7_and_Sec3.2_3.3,0.8-1.0
WS0093,62.28,131.5,72.62,281.6,66.79,197.94,14.43,207.26,24.5,23.201,28.99,30.4,45.21,30.25,7.5,wet,18.018,32.055,202.66,4.716,2819.29,65411.2,644.23,566.45,52534.51,47052.11,34716.08,102549.45,joints12,2.9539,synthetic_blocktheory_solver,pretrain_only,SWedge_VM_2022_P7_and_Sec3.2_3.3,>2.0
WS0095,61.93,29.09,67.12,152.2,60.73,107.65,17.04,95.5,25.26,22.966,35.47,28.01,22.74,36.01,13.67,wet,33.879,44.836,86.764,20.89,579.69,13313.44,173.9,223.47,2443.01,0.0,9388.52,7468.08,joint1,0.7954,synthetic_blocktheory_solver,pretrain_only,SWedge_VM_2022_P7_and_Sec3.2_3.3,<0.8
WS0096,71.53,121.39,65.05,238.08,72.51,167.08,2.52,178.09,33.98,25.155,28.3,34.62,26.5,26.2,11.38,wet,37.941,52.22,185.98,18.896,1570.05,39494.71,367.32,289.94,3862.5,10227.84,31215.22,25777.68,joints12,0.8258,synthetic_blocktheory_solver,pretrain_only,SWedge_VM_2022_P7_and_Sec3.2_3.3,0.8-1.0
WS0097,60.65,133.41,63.2,257.11,68.54,211.47,14.04,199.85,9.79,24.285,24.44,26.66,8.78,28.46,5.82,wet,5.588,42.001,193.959,17.516,105.54,2563.14,47.86,61.72,1275.53,1131.17,1715.11,2965.53,joints12,1.7291,synthetic_blocktheory_solver,pretrain_only,SWedge_VM_2022_P7_and_Sec3.2_3.3,1.5-2.0
WS0098,39.95,183.49,51.13,227.2,70.45,191.47,7.42,181.23,27.26,22.111,13.21,29.66,12.23,25.19,0.0,dry,0.0,39.52,180.494,10.974,28482.28,629759.8,5131.27,753.7,485420.59,0.0,401203.52,344244.25,joint1,0.858,synthetic_blocktheory_solver,pretrain_only,SWedge_VM_2022_P7_and_Sec3.2_3.3,0.8-1.0
WS0099,48.01,143.2,43.48,190.69,49.34,174.7,15.35,178.23,39.54,26.318,19.27,31.86,4.53,26.28,0.0,dry,0.0,42.823,177.814,3.118,2652.87,69817.55,468.47,969.33,14248.63,38725.3,47457.9,41396.34,joints12,0.8723,synthetic_blocktheory_solver,pretrain_only,SWedge_VM_2022_P7_and_Sec3.2_3.3,0.8-1.0
WS0100,41.22,92.27,39.5,172.01,69.05,155.45,10.97,153.92,23.72,26.624,27.38,37.62,1.37,25.21,13.77,wet,32.042,32.873,134.647,20.806,12163.69,323843.31,658.34,2050.47,117670.17,95196.78,175775.8,156326.43,joints12,0.8894,synthetic_blocktheory_solver,pretrain_only,SWedge_VM_2022_P7_and_Sec3.2_3.3,0.8-1.0
WS0101,74.84,140.63,62.46,271.37,66.34,187.79,9.53,178.13,15.48,26.318,43.45,37.4,16.41,26.4,22.93,wet,34.838,44.894,214.091,26.299,144.26,3796.57,84.41,66.9,0.0,723.73,2757.02,1457.11,joint2,0.5285,synthetic_blocktheory_solver,pretrain_only,SWedge_VM_2022_P7_and_Sec3.2_3.3,<0.8
WS0102,48.13,313.57,47.0,38.46,65.91,347.52,3.48,349.84,36.33,24.945,17.3,34.8,0.17,32.2,0.0,dry,0.0,38.458,357.672,10.152,12129.79,302581.61,1324.69,984.25,129824.15,142438.15,188189.19,203025.89,joints12,1.0788,synthetic_blocktheory_solver,pretrain_only,SWedge_VM_2022_P7_and_Sec3.2_3.3,1.0-1.2
WS0103,56.6,105.81,55.02,214.61,52.63,162.56,4.72,159.89,15.92,25.528,40.61,37.12,10.66,28.92,0.0,dry,0.0,40.286,162.024,0.54,181.54,4634.52,80.86,86.57,2317.11,2453.73,2996.72,7316.18,joints12,2.4414,synthetic_blocktheory_solver,pretrain_only,SWedge_VM_2022_P7_and_Sec3.2_3.3,>2.0
WS0104,64.16,309.07,62.71,39.39,60.62,333.36,14.13,339.71,9.97,22.953,4.96,26.57,15.46,30.37,3.47,wet,3.392,54.643,355.686,22.321,3.64,83.57,12.14,5.79,0.0,11.26,68.97,96.08,joint2,1.393,synthetic_blocktheory_solver,pretrain_only,SWedge_VM_2022_P7_and_Sec3.2_3.3,1.2-1.5
WS0105,52.45,211.91,59.02,305.27,53.92,246.12,1.98,256.28,38.46,23.898,43.86,37.03,36.33,27.02,2.22,wet,8.379,45.028,253.112,6.994,1235.82,29533.7,414.44,254.93,11179.97,9296.27,20893.57,40612.19,joints12,1.9438,synthetic_blocktheory_solver,pretrain_only,SWedge_VM_2022_P7_and_Sec3.2_3.3,1.5-2.0
WS0106,48.46,298.26,56.62,62.56,61.82,341.14,14.97,339.23,8.3,25.618,1.28,28.61,29.51,26.53,2.7,wet,2.195,31.419,356.394,15.25,186.73,4783.66,103.51,63.32,2881.61,2468.22,2493.72,4805.25,joints12,1.9269,synthetic_blocktheory_solver,pretrain_only,SWedge_VM_2022_P7_and_Sec3.2_3.3,1.5-2.0
WS0107,61.16,332.91,63.39,64.27,66.96,13.16,9.24,13.45,28.84,23.597,0.54,36.85,39.23,27.74,0.0,dry,0.0,53.372,16.181,3.017,854.49,20163.37,247.54,201.29,8131.92,7343.24,16181.54,17987.29,joints12,1.1116,synthetic_blocktheory_solver,pretrain_only,SWedge_VM_2022_P7_and_Sec3.2_3.3,1.0-1.2
WS0108,46.9,189.69,35.96,233.42,62.04,214.0,8.96,205.69,15.5,26.888,44.67,26.01,1.93,26.02,0.0,dry,0.0,36.199,235.931,21.934,1821.57,48978.93,339.56,469.38,0.0,39513.74,28941.32,20198.44,joint2,0.6979,synthetic_blocktheory_solver,pretrain_only,SWedge_VM_2022_P7_and_Sec3.2_3.3,<0.8
WS0110,64.56,146.57,44.42,200.4,59.62,190.82,4.11,179.43,12.71,23.202,3.0,30.9,22.33,30.55,14.03,wet,17.494,43.785,210.2,19.378,326.93,7585.63,51.63,239.6,0.0,653.63,5393.12,5735.07,joint2,1.0634,synthetic_blocktheory_solver,pretrain_only,SWedge_VM_2022_P7_and_Sec3.2_3.3,1.0-1.2
WS0112,65.73,113.98,39.35,220.99,53.96,161.98,14.09,163.92,19.76,26.051,25.46,30.77,39.05,29.59,10.77,wet,20.875,34.182,186.553,24.571,855.06,22274.74,213.16,264.05,2352.95,10666.91,12514.51,23194.55,joints12,1.8534,synthetic_blocktheory_solver,pretrain_only,SWedge_VM_2022_P7_and_Sec3.2_3.3,1.5-2.0
WS0113,65.8,345.01,57.2,69.37,71.24,21.03,7.33,34.91,29.93,25.678,41.0,28.89,11.29,38.85,0.0,dry,0.0,52.883,37.275,16.242,1540.89,39566.38,325.18,295.21,11015.35,18258.32,31550.57,37447.13,joints12,1.1869,synthetic_blocktheory_solver,pretrain_only,SWedge_VM_2022_P7_and_Sec3.2_3.3,1.0-1.2
WS0114,59.65,205.17,39.07,306.17,57.77,247.43,2.4,240.66,37.45,24.351,43.33,25.7,4.5,38.06,0.0,dry,0.0,33.925,271.232,23.804,8333.57,202932.95,917.99,983.38,63366.08,138620.59,113258.1,183244.17,joints12,1.6179,synthetic_blocktheory_solver,pretrain_only,SWedge_VM_2022_P7_and_Sec3.2_3.3,1.5-2.0
WS0115,68.65,211.54,57.5,265.86,72.42,259.68,15.41,267.82,16.78,24.324,27.88,33.55,23.2,32.49,1.55,wet,2.558,57.642,263.722,4.044,1184.97,28823.54,70.29,744.16,193.27,13272.75,24347.71,27801.86,joints12,1.1419,synthetic_blocktheory_solver,pretrain_only,SWedge_VM_2022_P7_and_Sec3.2_3.3,1.0-1.2
WS0116,45.0,286.04,60.8,13.17,46.07,306.35,2.52,309.65,33.16,23.186,27.61,28.01,45.78,38.7,0.0,dry,0.0,41.845,313.415,7.063,344.31,7983.13,300.66,92.91,4822.96,2099.51,5325.71,16802.26,joints12,3.1549,synthetic_blocktheory_solver,pretrain_only,SWedge_VM_2022_P7_and_Sec3.2_3.3,>2.0
WS0117,58.63,129.42,56.92,219.69,59.05,172.37,12.77,183.68,12.26,25.495,42.38,32.26,29.64,34.26,4.16,wet,5.004,48.308,175.945,3.576,56.98,1452.8,40.84,38.89,383.89,421.6,1084.85,3413.22,joints12,3.1463,synthetic_blocktheory_solver,pretrain_only,SWedge_VM_2022_P7_and_Sec3.2_3.3,>2.0
WS0118,70.42,129.31,58.28,267.84,49.08,185.08,8.89,181.76,26.95,25.987,29.67,32.27,34.59,31.47,19.24,wet,50.876,35.711,204.695,19.611,528.59,13736.52,219.04,199.6,0.0,1790.5,8163.45,8000.46,joint2,0.98,synthetic_blocktheory_solver,pretrain_only,SWedge_VM_2022_P7_and_Sec3.2_3.3,0.8-1.0
WS0119,52.98,59.14,59.26,149.87,67.87,95.53,15.85,87.46,22.69,22.579,7.81,33.96,11.77,28.97,11.81,wet,26.288,46.072,97.627,2.094,1568.63,35417.53,386.2,244.02,7467.13,6242.67,25508.07,14374.82,joints12,0.5635,synthetic_blocktheory_solver,pretrain_only,SWedge_VM_2022_P7_and_Sec3.2_3.3,<0.8
WS0120,60.31,308.62,43.2,32.91,70.38,0.99,12.47,11.61,8.24,25.026,40.82,28.07,28.1,30.84,6.13,wet,4.957,40.633,8.834,7.847,180.26,4511.09,47.21,99.03,806.75,2362.29,2937.66,6550.09,joints12,2.2297,synthetic_blocktheory_solver,pretrain_only,SWedge_VM_2022_P7_and_Sec3.2_3.3,>2.0
WS0121,53.29,107.75,49.63,166.08,67.35,142.34,18.79,135.21,23.07,25.86,1.12,26.95,15.32,37.49,0.0,dry,0.0,47.537,143.805,1.466,2138.31,55295.77,360.57,482.85,15442.66,24823.71,40792.44,34689.06,joints12,0.8504,synthetic_blocktheory_solver,pretrain_only,SWedge_VM_2022_P7_and_Sec3.2_3.3,0.8-1.0
WS0122,62.23,333.67,72.51,115.29,55.11,33.03,3.47,32.65,17.35,24.121,34.07,35.9,31.28,35.46,8.47,wet,14.411,37.829,39.41,6.376,227.45,5486.18,120.28,97.55,2945.23,2702.42,3364.68,11207.09,joints12,3.3308,synthetic_blocktheory_solver,pretrain_only,SWedge_VM_2022_P7_and_Sec3.2_3.3,>2.0
WS0123,36.7,228.51,40.12,278.22,54.41,244.82,8.3,252.76,28.73,23.729,9.63,31.23,12.85,26.66,0.0,dry,0.0,35.394,245.178,0.354,10762.13,255375.75,1917.27,943.18,145992.71,68498.19,147913.8,153483.09,joints12,1.0377,synthetic_blocktheory_solver,pretrain_only,SWedge_VM_2022_P7_and_Sec3.2_3.3,1.0-1.2
WS0124,54.29,344.09,51.13,44.46,73.41,14.64,8.72,25.72,37.85,22.444,9.17,38.42,3.13,33.64,0.0,dry,0.0,48.093,18.767,4.124,12129.45,272238.01,1120.84,1241.9,84959.61,113179.47,202606.64,156838.6,joints12,0.7741,synthetic_blocktheory_solver,pretrain_only,SWedge_VM_2022_P7_and_Sec3.2_3.3,<0.8
WS0125,66.1,83.48,69.32,191.36,69.3,130.28,11.71,144.16,18.2,24.059,25.6,35.9,40.62,30.98,12.49,wet,22.303,55.305,135.061,4.779,157.81,3796.62,83.31,68.08,0.0,33.21,3125.53,2785.21,joint2,0.8911,synthetic_blocktheory_solver,pretrain_only,SWedge_VM_2022_P7_and_Sec3.2_3.3,0.8-1.0
WS0126,63.64,221.39,42.15,299.46,73.53,267.44,14.57,277.85,8.27,23.338,3.93,33.23,34.38,30.54,5.5,wet,4.458,41.452,285.942,18.503,204.38,4769.83,53.02,105.69,400.93,2769.82,3157.62,5738.42,joints12,1.8173,synthetic_blocktheory_solver,pretrain_only,SWedge_VM_2022_P7_and_Sec3.2_3.3,1.5-2.0
WS0127,55.91,169.64,61.93,256.84,67.69,193.1,18.47,192.72,33.86,22.972,36.78,31.0,19.28,29.14,5.79,wet,19.223,49.563,206.424,13.32,3706.94,85155.19,853.06,361.49,22965.21,22012.99,64813.1,64422.47,joints12,0.994,synthetic_blocktheory_solver,pretrain_only,SWedge_VM_2022_P7_and_Sec3.2_3.3,0.8-1.0
WS0128,41.69,243.71,37.94,288.43,73.85,284.17,12.18,280.57,19.69,26.374,33.9,25.33,34.93,32.17,25.66,wet,49.565,37.101,274.775,9.391,21615.7,570095.98,603.18,4807.64,107127.69,91271.57,343893.49,296495.68,joints12,0.8622,synthetic_blocktheory_solver,pretrain_only,SWedge_VM_2022_P7_and_Sec3.2_3.3,0.8-1.0
WS0129,61.58,306.02,58.86,67.17,61.16,359.18,1.59,354.36,33.89,23.724,47.39,32.74,34.79,37.38,13.94,wet,46.343,41.016,8.553,9.377,2636.52,62547.57,488.49,429.21,12297.83,17197.05,41048.02,59125.57,joints12,1.4404,synthetic_blocktheory_solver,pretrain_only,SWedge_VM_2022_P7_and_Sec3.2_3.3,1.2-1.5
WS0130,48.3,154.89,59.97,287.54,53.08,225.31,16.74,228.02,23.95,26.192,37.36,26.17,18.03,29.99,8.92,wet,20.954,28.299,215.35,9.959,3910.59,102425.66,737.91,684.87,59191.54,44075.75,48557.69,94439.05,joints12,1.9449,synthetic_blocktheory_solver,pretrain_only,SWedge_VM_2022_P7_and_Sec3.2_3.3,1.5-2.0
WS0131,74.1,163.1,65.15,224.83,75.3,202.53,4.85,196.73,33.39,24.214,19.38,35.78,16.2,36.67,0.0,dry,0.0,65.087,214.235,11.705,774.32,18749.63,172.49,295.66,1626.27,6922.88,17004.94,14461.79,joints12,0.8504,synthetic_blocktheory_solver,pretrain_only,SWedge_VM_2022_P7_and_Sec3.2_3.3,0.8-1.0
WS0132,55.31,242.79,50.5,353.16,64.64,292.42,0.71,302.82,16.22,26.084,28.65,25.78,10.17,28.02,0.0,dry,0.0,36.838,301.023,8.604,716.64,18692.57,178.93,165.93,9247.52,10537.22,11207.3,16887.43,joints12,1.5068,synthetic_blocktheory_solver,pretrain_only,SWedge_VM_2022_P7_and_Sec3.2_3.3,1.5-2.0
WS0133,53.95,325.75,59.14,81.91,52.29,40.04,9.98,27.46,28.2,24.235,23.08,34.38,0.86,27.02,2.34,wet,6.483,38.277,20.581,19.458,1021.51,24755.76,242.55,319.96,13073.21,10774.74,15335.25,20315.42,joints12,1.3248,synthetic_blocktheory_solver,pretrain_only,SWedge_VM_2022_P7_and_Sec3.2_3.3,1.2-1.5
WS0134,46.22,235.05,67.06,302.63,60.99,261.8,12.86,271.44,36.64,23.666,19.13,37.93,29.61,37.66,1.35,wet,4.865,46.425,238.527,23.273,2872.43,67979.04,702.48,392.88,42323.79,127.84,49249.08,58154.43,joints12,1.1808,synthetic_blocktheory_solver,pretrain_only,SWedge_VM_2022_P7_and_Sec3.2_3.3,1.0-1.2
WS0135,48.59,265.33,42.6,4.73,52.58,336.6,2.81,326.26,10.34,25.348,20.01,29.23,45.44,36.44,23.86,wet,24.213,33.309,320.494,16.107,211.06,5349.94,55.77,121.84,963.5,48.97,2937.91,7227.2,joints12,2.46,synthetic_blocktheory_solver,pretrain_only,SWedge_VM_2022_P7_and_Sec3.2_3.3,>2.0
WS0136,43.99,263.26,41.06,350.0,68.1,317.07,16.55,311.82,19.85,26.766,47.08,26.95,31.55,32.13,15.85,wet,30.873,33.294,310.454,6.613,5748.67,153867.82,647.92,939.35,45432.95,50778.98,84464.58,115134.52,joints12,1.3631,synthetic_blocktheory_solver,pretrain_only,SWedge_VM_2022_P7_and_Sec3.2_3.3,1.2-1.5
WS0137,56.81,189.0,64.95,255.94,71.54,220.25,19.39,226.54,20.54,25.403,37.96,31.02,12.92,32.79,2.91,wet,5.866,54.876,207.737,12.517,643.49,16346.41,193.88,170.53,6293.07,2042.79,13369.86,14662.98,joints12,1.0967,synthetic_blocktheory_solver,pretrain_only,SWedge_VM_2022_P7_and_Sec3.2_3.3,1.0-1.2
WS0139,72.74,34.54,57.83,167.42,73.87,125.11,5.39,114.66,29.53,26.094,22.01,35.56,14.0,39.54,33.05,wet,95.735,40.112,109.904,15.205,3639.15,94961.8,426.6,703.65,16098.92,6632.83,61182.81,36228.36,joints12,0.5921,synthetic_blocktheory_solver,pretrain_only,SWedge_VM_2022_P7_and_Sec3.2_3.3,<0.8
WS0140,65.57,117.82,53.91,230.26,71.31,177.18,3.21,166.78,24.35,24.094,4.55,37.52,4.76,38.06,0.0,dry,0.0,42.453,183.423,6.244,1834.97,44212.39,293.55,353.11,19418.21,27280.54,29842.49,39288.62,joints12,1.3165,synthetic_blocktheory_solver,pretrain_only,SWedge_VM_2022_P7_and_Sec3.2_3.3,1.2-1.5
WS0141,52.66,59.96,51.66,163.97,64.12,101.37,9.43,88.64,30.2,24.705,42.87,35.8,30.52,25.28,2.35,wet,6.958,38.307,112.661,11.286,4769.63,117835.4,748.53,541.86,53595.01,56783.45,73043.09,114105.09,joints12,1.5622,synthetic_blocktheory_solver,pretrain_only,SWedge_VM_2022_P7_and_Sec3.2_3.3,1.5-2.0
WS0142,63.96,183.52,67.64,330.89,70.51,238.09,9.35,223.22,25.41,25.615,46.62,31.5,2.84,29.0,32.59,wet,81.247,30.316,255.438,17.351,3512.52,89973.31,708.65,547.64,24316.16,33820.72,45415.11,68239.8,joints12,1.5026,synthetic_blocktheory_solver,pretrain_only,SWedge_VM_2022_P7_and_Sec3.2_3.3,1.5-2.0
WS0143,44.93,299.73,43.6,27.41,49.71,350.5,9.23,343.66,20.3,26.013,14.15,30.09,17.37,34.15,14.36,wet,28.58,34.573,346.036,4.46,1156.44,30082.37,255.41,324.8,6076.33,5575.41,17070.37,16559.42,joints12,0.9701,synthetic_blocktheory_solver,pretrain_only,SWedge_VM_2022_P7_and_Sec3.2_3.3,0.8-1.0
WS0144,39.98,42.7,34.36,86.88,66.08,67.33,12.93,66.0,33.4,22.066,10.78,25.6,9.42,30.51,0.0,dry,0.0,34.114,79.438,12.103,40379.48,891014.05,2706.76,3833.9,121323.13,628187.49,499714.47,493582.87,joints12,0.9877,synthetic_blocktheory_solver,pretrain_only,SWedge_VM_2022_P7_and_Sec3.2_3.3,0.8-1.0
WS0145,56.37,103.39,68.62,240.47,66.63,177.44,11.07,164.24,36.36,22.32,20.24,28.78,39.97,34.53,33.13,wet,118.166,34.588,166.608,10.833,8015.08,178899.66,1073.22,989.96,15838.22,935.16,101555.54,70635.28,joints12,0.6955,synthetic_blocktheory_solver,pretrain_only,SWedge_VM_2022_P7_and_Sec3.2_3.3,<0.8
WS0146,74.21,282.67,56.73,34.78,67.92,341.15,16.66,331.41,24.17,22.299,48.5,39.5,5.18,32.47,2.57,wet,6.103,49.006,353.675,12.524,723.12,16124.92,184.87,220.62,4669.54,8412.61,12170.65,19311.03,joints12,1.5867,synthetic_blocktheory_solver,pretrain_only,SWedge_VM_2022_P7_and_Sec3.2_3.3,1.5-2.0
WS0147,46.76,165.06,39.55,272.92,64.35,227.8,14.12,227.81,25.71,24.463,14.92,25.29,41.09,28.19,30.05,wet,75.794,28.968,225.023,2.775,12380.11,302857.15,1091.77,1580.07,52245.72,61726.55,146681.06,138993.89,joints12,0.9476,synthetic_blocktheory_solver,pretrain_only,SWedge_VM_2022_P7_and_Sec3.2_3.3,0.8-1.0
WS0148,65.93,2.66,73.45,146.14,63.79,96.69,12.55,95.19,23.18,22.563,11.92,26.93,40.75,35.63,13.96,wet,31.737,39.887,70.094,26.599,661.67,14929.55,202.6,255.7,6601.35,3804.89,9573.93,18914.52,joints12,1.9756,synthetic_blocktheory_solver,pretrain_only,SWedge_VM_2022_P7_and_Sec3.2_3.3,1.5-2.0
WS0149,35.56,35.71,63.76,123.28,66.75,76.68,11.33,68.46,28.44,22.649,10.67,36.23,30.25,25.82,12.92,wet,36.036,34.167,53.396,23.283,8859.3,200658.3,1286.16,719.22,104450.13,7588.42,112691.87,115680.74,joints12,1.0265,synthetic_blocktheory_solver,pretrain_only,SWedge_VM_2022_P7_and_Sec3.2_3.3,1.0-1.2
WS0151,66.77,74.26,42.17,136.01,70.16,119.41,8.57,113.95,28.11,24.81,32.11,30.74,32.22,33.6,21.09,wet,58.159,42.15,141.239,21.83,7645.79,189691.76,443.73,1472.26,0.0,39822.5,130777.34,73888.87,joint2,0.565,synthetic_blocktheory_solver,pretrain_only,SWedge_VM_2022_P7_and_Sec3.2_3.3,<0.8
WS0152,47.24,69.01,43.32,146.38,72.16,116.19,7.13,119.99,39.97,25.179,12.73,33.72,37.54,34.06,2.44,wet,9.578,38.068,112.457,3.738,29211.36,735520.38,1606.48,2537.56,264274.42,340585.36,453516.93,522325.38,joints12,1.1517,synthetic_blocktheory_solver,pretrain_only,SWedge_VM_2022_P7_and_Sec3.2_3.3,1.0-1.2
WS0153,59.28,143.1,50.33,183.82,73.64,163.29,14.55,150.46,17.13,25.402,15.18,25.77,10.45,34.4,0.0,dry,0.0,50.155,188.886,25.593,1059.17,26904.52,274.61,256.21,0.0,17200.04,20688.45,14453.06,joint2,0.6986,synthetic_blocktheory_solver,pretrain_only,SWedge_VM_2022_P7_and_Sec3.2_3.3,<0.8
WS0155,32.7,253.94,55.94,306.55,55.55,261.76,14.95,266.68,17.81,24.646,0.55,26.52,21.6,26.66,0.0,dry,0.0,31.799,241.083,20.678,6172.84,152138.42,2037.89,309.11,128386.55,0.0,81627.16,65192.22,joint1,0.7987,synthetic_blocktheory_solver,pretrain_only,SWedge_VM_2022_P7_and_Sec3.2_3.3,<0.8
WS0156,58.83,195.04,59.32,316.42,46.53,243.86,10.4,241.9,35.95,25.852,40.12,38.25,12.0,30.56,9.54,wet,33.646,38.863,255.659,11.795,735.98,19026.22,293.12,231.15,1333.06,3393.01,11938.09,17588.48,joints12,1.4733,synthetic_blocktheory_solver,pretrain_only,SWedge_VM_2022_P7_and_Sec3.2_3.3,1.2-1.5
WS0157,49.22,121.1,50.47,240.98,50.53,202.29,17.79,217.01,16.29,24.883,46.26,30.5,7.21,30.38,20.04,wet,32.025,30.7,180.874,21.416,683.59,17009.56,158.86,273.19,4812.99,922.59,8684.12,12696.06,joints12,1.462,synthetic_blocktheory_solver,pretrain_only,SWedge_VM_2022_P7_and_Sec3.2_3.3,1.2-1.5
